date,pm_total_trade_count,pm_total_notional,pm_market_age_hours,pm_up_last,pm_up_first,pm_up_mean,pm_up_std,pm_up_change,pm_up_min,pm_up_max,pm_up_trade_count,pm_up_notional
2025-08-02,0,0.0,42.84460777638889,,,,,,,,0,0.0
2025-08-03,0,0.0,43.08639451861112,,,,,,,,0,0.0
2025-08-04,0,0.0,67.08640071722222,,,,,,,,0,0.0
2025-08-05,0,0.0,91.0863931725,,,,,,,,0,0.0
2025-08-06,0,0.0,43.3328427575,,,,,,,,0,0.0
2025-08-07,0,0.0,58.26805117055555,,,,,,,,0,0.0
2025-08-08,0,0.0,82.01111432361111,,,,,,,,0,0.0
2025-08-09,0,0.0,42.61300694166666,,,,,,,,0,0.0
2025-08-10,0,0.0,59.45033159166667,,,,,,,,0,0.0
2025-08-11,0,0.0,66.09579241333334,,,,,,,,0,0.0
2025-08-12,0,0.0,90.09512822833332,,,,,,,,0,0.0
2025-08-13,0,0.0,42.39470194833333,,,,,,,,0,0.0
2025-08-14,0,0.0,41.17774778194444,,,,,,,,0,0.0
2025-08-15,0,0.0,42.614914929444446,,,,,,,,0,0.0
2025-08-16,0,0.0,43.244373347777774,,,,,,,,0,0.0
2025-08-17,0,0.0,43.18258877944445,,,,,,,,0,0.0
2025-08-18,559,86727.51901799999,67.18258445055555,0.0389999740457736,0.24,0.0916419116735655,0.0468555119463689,-0.2010000259542263,0.03,0.25,559,86727.51901799999
2025-08-19,0,0.0,91.1825865072222,,,,,,,,0,0.0
2025-08-20,0,0.0,42.889013374444446,,,,,,,,0,0.0
2025-08-21,0,0.0,41.49481435166667,,,,,,,,0,0.0
2025-08-22,0,0.0,43.06847015111112,,,,,,,,0,0.0
2025-08-23,20,11666.939599,39.76922108694445,0.2,0.1699999896692306,0.1784999994834615,0.0155804367326836,0.0300000103307694,0.16,0.2,20,11666.939599
2025-08-24,0,0.0,40.78051363611111,,,,,,,,0,0.0
2025-08-25,324,64131.519877000006,64.37737595972222,0.16,0.18,0.2116817265003003,0.0534181352515134,-0.0199999999999999,0.119999992464678,0.31,324,64131.519877000006
2025-08-26,0,0.0,88.78201330805557,,,,,,,,0,0.0
2025-08-27,0,0.0,41.23217313833334,,,,,,,,0,0.0
2025-08-28,0,0.0,43.00472568,,,,,,,,0,0.0
2025-08-29,0,0.0,40.67023318166667,,,,,,,,0,0.0
2025-08-30,0,0.0,41.44783185805556,,,,,,,,0,0.0
2025-08-31,0,0.0,37.78776074722222,,,,,,,,0,0.0
2025-09-01,0,0.0,61.78751978583333,,,,,,,,0,0.0
2025-09-02,0,0.0,85.78643751805556,,,,,,,,0,0.0
2025-09-03,0,0.0,39.12987646472222,,,,,,,,0,0.0
2025-09-04,0,0.0,42.205710501388886,,,,,,,,0,0.0
2025-09-05,0,0.0,40.37350501388889,,,,,,,,0,0.0
2025-09-06,0,0.0,41.53563667666667,,,,,,,,0,0.0
2025-09-07,0,0.0,40.94319067027778,,,,,,,,0,0.0
2025-09-08,0,0.0,64.94318993083333,,,,,,,,0,0.0
2025-09-09,0,0.0,88.94318622972223,,,,,,,,0,0.0
2025-09-10,0,0.0,35.8774116625,,,,,,,,0,0.0
2025-09-11,0,0.0,35.86184946777777,,,,,,,,0,0.0
2025-09-12,0,0.0,35.87738764527778,,,,,,,,0,0.0
2025-09-13,468,149497.563111,35.8709943,0.8800000480000048,0.75,0.8556606065571737,0.0440600380091502,0.1300000480000047,0.75,0.94,468,149497.563111
2025-09-14,0,0.0,35.88183537472222,,,,,,,,0,0.0
2025-09-15,0,0.0,35.844343914444444,,,,,,,,0,0.0
2025-09-16,0,0.0,35.84503038888889,,,,,,,,0,0.0
2025-09-17,0,0.0,35.91237347333333,,,,,,,,0,0.0
2025-09-18,293,44100.422442,35.913987355,0.91,0.69,0.7889334987223753,0.0881573802922051,0.22,0.62,0.93,293,44100.422442
2025-09-19,61,5654.543645000001,35.793579989166666,0.28,0.3450914770191878,0.3358242087235635,0.0391157697799069,-0.0650914770191878,0.26,0.39,61,5654.543645000001
2025-09-20,0,0.0,35.67107718527778,,,,,,,,0,0.0
2025-09-21,119,18413.870477,35.73355029166667,0.3,0.3,0.2995957301730836,0.0284040839299942,5.551115123125783e-17,0.2399999955434188,0.36,119,18413.870477
2025-09-22,348,43315.452682,35.92800695611111,0.2099999969232558,0.419999980219778,0.2560175010468599,0.1066873175566782,-0.2099999832965222,0.13,0.53,348,43315.452682
2025-09-23,0,0.0,35.81209579555556,,,,,,,,0,0.0
2025-09-24,0,0.0,35.827599649444444,,,,,,,,0,0.0
2025-09-25,39,3541.534668,35.83381029694445,0.29,0.2199999999999999,0.2576923045270576,0.0201865050761319,0.07,0.2099999999999999,0.29,39,3541.534668
2025-09-26,0,0.0,35.84623443638889,,,,,,,,0,0.0
2025-09-27,0,0.0,35.76206810638889,,,,,,,,0,0.0
2025-09-28,0,0.0,35.95900087277778,,,,,,,,0,0.0
2025-09-29,435,42803.464731,35.710890246388885,0.9,0.69,0.853863875181449,0.08253192950354826,0.21000000000000008,0.6500001225000795,0.93,435,42803.464731
2025-09-30,0,0.0,35.7114885325,,,,,,,,0,0.0
2025-10-01,156,6044.861736000001,35.887386901666666,0.8599996559997936,0.8800001008000161,0.8781543345647975,0.024343199672853984,-0.02000044480022256,0.83,0.91,156,6044.861736000001
2025-10-02,48,9931.081897,35.67446471277778,0.84,0.79,0.8529166332478136,0.02388844928864687,0.04999999999999993,0.79,0.89,48,9931.081897
2025-10-03,0,0.0,35.966967814444445,,,,,,,,0,0.0
2025-10-04,0,0.0,35.85170036861111,,,,,,,,0,0.0
2025-10-05,0,0.0,35.903045372499996,,,,,,,,0,0.0
2025-10-06,0,0.0,35.772525289166666,,,,,,,,0,0.0
2025-10-07,0,0.0,35.903460744722224,,,,,,,,0,0.0
2025-10-08,0,0.0,35.811370115833334,,,,,,,,0,0.0
2025-10-09,0,0.0,35.901127360833335,,,,,,,,0,0.0
2025-10-10,0,0.0,35.93943858888889,,,,,,,,0,0.0
2025-10-11,73,3963.2025120000003,35.70225653138889,0.04899999770679999,0.025,0.0313765854544931,0.009115647540182657,0.02399999770679999,0.018000000009251685,0.049000000000000044,73,3963.2025120000003
2025-10-12,0,0.0,35.82024224972222,,,,,,,,0,0.0
2025-10-13,0,0.0,35.85648019166666,,,,,,,,0,0.0
